,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
434,Javi Martínez,22, M(CR),,,9(17),870,0.8,0.3,0.6,-,0.3,0.7,-,-,6.31
435,Raúl Guti,25, M(C),,,17(14),1629,0.8,0.8,0.5,-,0.2,0.6,0.1,-,6.31
436,Denis Cheryshev,31, AM(L),FW,,5(12),561,0.8,0.5,0.9,-,0.5,0.5,0.1,-,6.31
437,Sandro Ramírez,26, AM(LR),FW,,19(10),1477,0.2,0.1,1.1,-,0.1,0.4,0.1,-,6.31
438,Roberto Torres,33, AM(CLR),,,6(22),799,0.3,0.3,0.3,-,0.1,0.4,-,-,6.3
439,Clément Lenglet,26, D(C),,,7(14),818,1,0.6,0.9,0.3,0.9,0.2,0.1,-,6.3
440,Sergio Agüero,34, AM(CL),FW,,2(2),151,0.3,-,0.3,-,-,0.5,-,-,6.3
441,Carlos Martín,20, Forward,,,0(1),5,-,-,1,-,1,-,-,-,6.3
442,Jesús Owono,21, GK,,,1,90,-,-,-,-,1,-,-,-,6.3
443,Salvi Sánchez,31, AM(R),,,17(6),1403,0.9,0.3,0.4,-,0.4,0.5,0.1,-,6.3
444,Ángel Montoro,33, M(C),,,13(11),1331,1.1,0.5,1.2,-,1.1,0.4,-,-,6.29
445,Ximo Navarro,32, D(CLR),,,16(2),1351,1.6,1.2,0.9,0.3,3,0.8,0.3,-,6.29
446,Riqui Puig,22, M(C),,,2(13),475,0.4,0.2,0.6,-,-,0.8,-,-,6.29
