,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
4,"145Piotr ZielinskiNapoli, 28, M(CL)","Piotr Zielinski Napoli, 28, M(CL)",26(9),2099,0.5,0.2,0.5,-,0.1,0.4,0.1,-,6.71
5,"146Fernando ForestieriUdinese, 32, AM(CL),FW","Fernando Forestieri Udinese, 32, AM(CL),FW",0(4),53,-,-,0.8,-,0.3,0.3,-,-,6.71
6,"147Andrea BelottiTorino, 28, FW","Andrea Belotti Torino, 28, FW",16(6),1378,0.3,0.1,1.2,-,0.4,0.4,0.2,-,6.71
7,"148Manolo GabbiadiniSampdoria, 30, AM(CLR),FW","Manolo Gabbiadini Sampdoria, 30, AM(CLR),FW",15(3),1147,0.3,0.2,0.7,-,0.5,0.3,0.1,-,6.71
8,"149Sebastiano LupertoEmpoli, 25, D(C)","Sebastiano Luperto Empoli, 25, D(C)",22(2),1957,1.2,1.9,1.3,0.4,5.4,0.4,1.1,-,6.71
9,"150Boris RadunovicCagliari, 26, GK","Boris Radunovic Cagliari, 26, GK",4,271,-,-,-,-,0.3,-,-,-,6.7
0,"151Leonardo BonucciJuventus, 35, D(C)","Leonardo Bonucci Juventus, 35, D(C)",22(2),2004,0.6,1.1,0.7,0.2,3.4,0.2,0.7,-,6.7
1,"152Daniele VerdeSpezia, 25, AM(CLR)","Daniele Verde Spezia, 25, AM(CLR)",21(12),1959,0.3,0.5,0.1,-,0.2,0.3,0.1,-,6.7
2,"153Joaquín CorreaInter, 27, AM(CL),FW","Joaquín Correa Inter, 27, AM(CL),FW",12(14),1024,0.4,0.1,0.6,-,0.1,0.5,-,-,6.7
3,"154Federico FazioSalernitana, 35, D(C)","Federico Fazio Salernitana, 35, D(C)",16,1435,1.1,1.7,1.0,0.3,4.2,0.2,1,-,6.7
4,"155Aaron HickeyBologna, 19, D(L),M(L)","Aaron Hickey Bologna, 19, D(L),M(L)",34(2),2835,1.3,0.8,1.1,0.2,1.0,0.3,0.4,-,6.69
5,"156Mikkel DamsgaardSampdoria, 21, AM(CL)","Mikkel Damsgaard Sampdoria, 21, AM(CL)",6(5),576,2.5,0.6,0.9,-,0.6,1.5,0.1,-,6.69
