,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
148,"149Franco CerviCelta Vigo, 28, AM(CL)",Franco Cervi,28, AM(CL),,,22(12),1811,4,3,6,-,0.6,80.1,0.5,1,6.71
149,"150Mamadou LoumDeportivo Alaves, 25, DMC",Mamadou Loum,25, DMC,,,26(6),2317,2,-,10,-,1,72.9,3.1,1,6.7
150,"151MarceloReal Madrid, 34, D(L),M(L)",Marcelo,34, D(L),M(L),,5(7),521,-,2,-,-,0.7,85.8,0.3,-,6.7
151,"152Marko DmitrovicSevilla, 30, GK",Marko Dmitrovic,30, GK,,,7,541,-,-,1,-,-,80.7,0.1,-,6.7
152,"153Rubén GarcíaOsasuna, 28, AM(CLR),FW",Rubén García,28, AM(CLR),FW,,30(7),2399,1,6,1,-,0.9,77.9,0.8,3,6.7
153,"154Antonio BlancoReal Madrid, 21, Midfielder",Antonio Blanco,21, Midfielder,,,0(1),31,-,-,-,-,-,90,-,-,6.7
154,"155Álex RemiroReal Sociedad, 27, GK",Álex Remiro,27, GK,,,35,3150,-,-,1,-,-,73.1,0.1,1,6.7
155,"156Ansu FatiBarcelona, 19, AM(L)",Ansu Fati,19, AM(L),,,3(7),334,4,-,-,-,1.8,85.1,0.1,-,6.7
156,"157Jorge de FrutosLevante, 25, AM(R)",Jorge de Frutos,25, AM(R),,,20(5),1766,4,7,4,-,1.8,70.5,0.3,2,6.7
157,"158Adrián EmbarbaEspanyol, 30, AM(CLR),FW",Adrián Embarba,30, AM(CLR),FW,,24(8),1998,-,2,4,-,1.5,75.5,0.5,1,6.69
158,"159Thomas DelaneySevilla, 30, DMC",Thomas Delaney,30, DMC,,,15(11),1545,2,1,2,1,0.7,78.3,2.1,2,6.69
159,"160Damián SuárezGetafe, 34, D(R),M(R)",Damián Suárez,34, D(R),M(R),,31(4),2721,-,3,13,-,0.4,71,0.7,1,6.69
160,"161FernandoSevilla, 34, DMC",Fernando,34, DMC,,,21(3),1851,1,1,6,-,0.3,89.2,1.5,-,6.69
161,"162Johan MojicaElche, 29, D(L),M(L)",Johan Mojica,29, D(L),M(L),,32(1),2857,2,5,4,1,0.5,77.4,0.8,3,6.69
162,"163Marcelo SaracchiLevante, 24, D(L)",Marcelo Saracchi,24, D(L),,,2(2),186,-,1,2,-,-,81.9,0.3,-,6.69
163,"164Lucas OlazaElche, 27, D(L),M(L)",Lucas Olaza,27, D(L),M(L),,3(2),293,1,-,1,-,0.8,80.6,0.2,1,6.69
164,"165Helibelton PalaciosElche, 28, D(R)",Helibelton Palacios,28, D(R),,,22(4),1932,-,-,6,-,-,78.7,1,-,6.69
165,"166Nahuel TenagliaDeportivo Alaves, 26, D(CR)",Nahuel Tenaglia,26, D(CR),,,12(2),1073,-,-,2,-,0.4,59.9,1.6,-,6.68
166,"167Adrià PedrosaEspanyol, 24, D(L),M(L)",Adrià Pedrosa,24, D(L),M(L),,31,2723,1,1,8,-,0.8,77.8,0.5,1,6.68
167,"168Luis SuárezGranada, 24, AM(L),FW",Luis Suárez,24, AM(L),FW,,34(3),2857,8,4,6,-,2.3,67.3,1.5,2,6.68
168,"169Jesús CoronaSevilla, 29, D(R),M(CLR),FW",Jesús Corona,29, D(R),M(CLR),FW,12(6),1161,2,4,2,-,0.7,82.2,0.4,1,6.68
169,"170Rui SilvaReal Betis, 28, GK",Rui Silva,28, GK,,,21(1),1963,-,-,2,-,-,66.9,0.2,-,6.68
170,"171Lucas PérezCadiz, 33, AM(CR),FW",Lucas Pérez,33, AM(CR),FW,,11(4),1061,3,2,1,-,1,81.6,0.1,1,6.68
171,"172Oihan SancetAthletic Bilbao, 22, AM(C),FW",Oihan Sancet,22, AM(C),FW,,16(11),1426,6,4,2,-,1.1,78.2,0.6,2,6.68
172,"173Iñigo Ruiz de GalarretaMallorca, 28, DMC",Iñigo Ruiz de Galarreta,28, DMC,,,17(5),1390,-,-,4,-,0.4,82.6,0.8,-,6.68
173,"174Borja MayoralGetafe, 25, FW",Borja Mayoral,25, FW,,,11(7),1049,6,1,3,-,0.9,73.5,1.2,1,6.68
